id,name,terminalName,lat,long,installed,locked,temporary,public,nbBikes,nbEmptyDocks
61,Florida Ave & R St NW,31503,38.9126,-77.0135,TRUE,FALSE,FALSE,TRUE,6,8
62,8th & Eye St SE / Barracks Row,31608,38.8792,-76.9953,TRUE,FALSE,FALSE,TRUE,9,2
63,Ward Circle / American University,31301,38.938736,-77.087171,TRUE,FALSE,FALSE,TRUE,5,10
64,Wisconsin Ave & Newark St NW,31302,38.934881,-77.072755,TRUE,FALSE,FALSE,TRUE,4,15
65,14th St Heights / 14th & Crittenden St NW,31402,38.947774,-77.032818,TRUE,FALSE,FALSE,TRUE,5,6
66,Anacostia Library,31804,38.865784,-76.9784,TRUE,FALSE,FALSE,TRUE,7,4
67,Pennsylvania & Minnesota Ave SE,31805,38.873057,-76.971015,TRUE,FALSE,FALSE,TRUE,6,4
68,Eastern Market / 7th & North Carolina Ave SE,31610,38.886952,-76.996806,TRUE,FALSE,FALSE,TRUE,6,7
69,14th St & New York Ave NW,31216,38.899632,-77.031686,TRUE,FALSE,FALSE,TRUE,12,11
70,Benning Branch Library,31705,38.894,-76.947974,TRUE,FALSE,FALSE,TRUE,9,2
71,USDA / 12th & Independence Ave SW,31217,38.887237,-77.028226,TRUE,FALSE,FALSE,TRUE,15,22
72,Georgetown Harbor / 30th St NW,31215,38.9022212,-77.059219,TRUE,FALSE,FALSE,TRUE,6,13
73,12th & Newton St NE,31501,38.933668,-76.991016,TRUE,FALSE,FALSE,TRUE,2,9
74,US Dept of State / Virginia Ave & 21st St NW,31220,38.894919,-77.046587,TRUE,FALSE,FALSE,TRUE,0,15
75,L'Enfant Plaza / 7th & C St SW,31218,38.886266,-77.022241,TRUE,FALSE,FALSE,TRUE,15,0
76,10th St & Constitution Ave NW,31219,38.893028,-77.026013,TRUE,FALSE,FALSE,TRUE,12,19
77,Kennedy Center,31211,38.897293,-77.05557,TRUE,FALSE,FALSE,TRUE,16,2
78,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613,38.884,-76.995397,TRUE,FALSE,FALSE,TRUE,7,7
79,18th & M St NW,31221,38.904742,-77.041606,TRUE,FALSE,FALSE,TRUE,9,8
80,Tenleytown / Wisconsin Ave & Albemarle St NW,31303,38.947607,-77.079382,TRUE,FALSE,FALSE,TRUE,0,15
81,13th & H St NE,31611,38.9003,-76.9882,TRUE,FALSE,FALSE,TRUE,7,20
82,5th & F St NW,31620,38.897222,-77.019347,TRUE,FALSE,FALSE,TRUE,24,7
83,New York Ave & 15th St NW,31222,38.8991,-77.0337,TRUE,FALSE,FALSE,TRUE,7,7
84,Convention Center / 7th & M St NW,31223,38.905737,-77.02227,TRUE,FALSE,FALSE,TRUE,1,18
85,Harvard St & Adams Mill Rd NW,31112,38.927872,-77.043358,TRUE,FALSE,FALSE,TRUE,1,14
86,19th & L St NW,31224,38.903407,-77.043648,TRUE,FALSE,FALSE,TRUE,10,4
87,C & O Canal & Wisconsin Ave NW,31225,38.90375,-77.06269,TRUE,FALSE,FALSE,TRUE,8,15
88,6th & Water St SW / SW Waterfront,31609,38.87675,-77.02127,TRUE,FALSE,FALSE,TRUE,7,12
89,D St & Maryland Ave NE,31612,38.894758,-76.997114,TRUE,FALSE,FALSE,TRUE,5,16
90,34th St & Wisconsin Ave NW,31226,38.916442,-77.0682,TRUE,FALSE,FALSE,TRUE,0,11
91,13th St & New York Ave NW,31227,38.900283,-77.029822,TRUE,FALSE,FALSE,TRUE,13,9
92,8th & H St NW,31228,38.8997,-77.023086,TRUE,FALSE,FALSE,TRUE,31,2
93,10th & Monroe St NE,31504,38.932514,-76.992889,TRUE,FALSE,FALSE,TRUE,6,5
94,Eckington Pl & Q St NE,31505,38.910972,-77.00495,TRUE,FALSE,FALSE,TRUE,0,11
95,6th & H St NE,31615,38.899972,-76.998347,TRUE,FALSE,FALSE,TRUE,10,13
96,3rd & H St NE,31616,38.900412,-77.001949,TRUE,FALSE,FALSE,TRUE,11,8
97,Bladensburg Rd & Benning Rd NE,31617,38.900413,-76.982872,TRUE,FALSE,FALSE,TRUE,9,6
98,4th & East Capitol St NE,31618,38.889955,-77.000349,TRUE,FALSE,FALSE,TRUE,2,8
99,Lincoln Park / 13th & East Capitol St NE,31619,38.890461,-76.988355,TRUE,FALSE,FALSE,TRUE,1,23
100,Branch & Pennsylvania Ave SE,31701,38.8692,-76.9599,TRUE,FALSE,FALSE,TRUE,4,7
101,13th & D St NE,31622,38.894832,-76.987633,TRUE,FALSE,FALSE,TRUE,5,26
102,New Hampshire Ave & T St NW,31229,38.91554,-77.03818,TRUE,FALSE,FALSE,TRUE,0,23
103,Metro Center / 12th & G St NW,31230,38.898364,-77.027869,TRUE,FALSE,FALSE,TRUE,30,0
104,14th & D St NW / Ronald Reagan Building,31231,38.894514,-77.031617,TRUE,FALSE,FALSE,TRUE,8,17
105,7th & F St NW / National Portrait Gallery,31232,38.897351,-77.022465,TRUE,FALSE,FALSE,TRUE,21,3
106,17th & K St NW / Farragut Square,31233,38.902061,-77.038322,TRUE,FALSE,FALSE,TRUE,16,18
107,20th & O St NW / Dupont South,31234,38.908905,-77.04478,TRUE,FALSE,FALSE,TRUE,3,15
108,4th & D St NW / Judiciary Square,31621,38.895344,-77.016106,TRUE,FALSE,FALSE,TRUE,4,9
109,19th St & Constitution Ave NW,31235,38.8923,-77.0436,TRUE,FALSE,FALSE,TRUE,24,11
110,37th & O St NW / Georgetown University,31236,38.90774,-77.071652,TRUE,FALSE,FALSE,TRUE,5,17
111,11th & H St NE,31614,38.899983,-76.991383,TRUE,FALSE,FALSE,TRUE,2,16
