StartStation,EndStation,Ridership
10th & E St NW,10th & Florida Ave NW,46
10th & E St NW,10th & K St NW,178
10th & E St NW,10th & Monroe St NE,15
10th & E St NW,10th & U St NW,244
10th & E St NW,10th St & Constitution Ave NW,851
10th & E St NW,10th St & L'Enfant Plaza SW,3
10th & E St NW,11th & F St NW,327
10th & E St NW,11th & H St NE,228
10th & E St NW,11th & Kenyon St NW,476
10th & E St NW,11th & M St NW,505
10th & E St NW,11th & S St NW,60
10th & E St NW,12th & Army Navy Dr,9
10th & E St NW,12th & Irving St NE,2
10th & E St NW,12th & L St NW,188
10th & E St NW,12th & Newton St NE,108
10th & E St NW,12th & U St NW,176
10th & E St NW,13th & D St NE,422
10th & E St NW,13th & H St NE,230
10th & E St NW,13th St & Eastern Ave,1
10th & E St NW,13th St & New York Ave NW,374
10th & E St NW,14th & Belmont St NW,98
10th & E St NW,14th & D St NW / Ronald Reagan Building,588
10th & E St NW,14th & D St SE,168
10th & E St NW,14th & G St NW,475
10th & E St NW,14th & Harvard St NW,58
10th & E St NW,14th & L St NW,11
10th & E St NW,14th & R St NW,302
10th & E St NW,14th & Rhode Island Ave NW,578
10th & E St NW,14th & Upshur St NW,88
10th & E St NW,14th & V St NW,268
10th & E St NW,14th St & Colorado Ave NW,3
10th & E St NW,14th St & New York Ave NW,379
10th & E St NW,14th St & Spring Rd NW,39
10th & E St NW,14th St Heights / 14th & Crittenden St NW,5
10th & E St NW,15th & Crystal Dr,18
10th & E St NW,15th & East Capitol St NE,191
10th & E St NW,15th & Euclid St  NW,46
10th & E St NW,15th & F St NE,109
10th & E St NW,15th & K St NW,280
10th & E St NW,15th & L St NW,76
10th & E St NW,15th & N Scott St,10
10th & E St NW,15th & P St NW,673
10th & E St NW,15th St & Massachusetts Ave SE,98
10th & E St NW,16th & Harvard St NW,73
10th & E St NW,16th & Irving St NW,2
10th & E St NW,16th & R St NW,15
10th & E St NW,17th & Corcoran St NW,593
10th & E St NW,17th & G St NW,242
10th & E St NW,17th & K St NW,211
10th & E St NW,17th & K St NW / Farragut Square,380
10th & E St NW,17th & Rhode Island Ave NW,225
10th & E St NW,17th St & Independence Ave SW,5
10th & E St NW,17th St & Massachusetts Ave NW,203
10th & E St NW,18th & C St NW,9
10th & E St NW,18th & Eads St.,3
10th & E St NW,18th & M St NW,187
10th & E St NW,18th & R St NW,86
10th & E St NW,18th St & Pennsylvania Ave NW,466
10th & E St NW,18th St & Rhode Island Ave NE,142
10th & E St NW,18th St & Wyoming Ave NW,85
10th & E St NW,19th & E Street NW,110
10th & E St NW,19th & East Capitol St SE,69
10th & E St NW,19th & G St NW,30
10th & E St NW,19th & K St NW,90
10th & E St NW,19th & L St NW,84
10th & E St NW,19th St & Constitution Ave NW,583
10th & E St NW,19th St & Pennsylvania Ave NW,206
10th & E St NW,1st & H St NW,114
10th & E St NW,1st & K St SE,525
10th & E St NW,1st & M St NE,522
10th & E St NW,1st & N St SE,108
10th & E St NW,1st & O St NW,11
10th & E St NW,1st & Rhode Island Ave NW,282
10th & E St NW,1st & Washington Hospital Center NW,3
10th & E St NW,20th & Crystal Dr,25
10th & E St NW,20th & E St NW,374
10th & E St NW,20th & L St NW,281
10th & E St NW,20th & O St NW / Dupont South,343
10th & E St NW,20th St & Florida Ave NW,137
10th & E St NW,20th St & Virginia Ave NW,84
10th & E St NW,21st & I St NW,199
10th & E St NW,21st & M St NW,583
10th & E St NW,21st St & Constitution Ave NW,208
10th & E St NW,21st St & Pennsylvania Ave NW,141
10th & E St NW,22nd & I St NW / Foggy Bottom,305
10th & E St NW,23rd & Crystal Dr,20
10th & E St NW,23rd & E St NW ,128
10th & E St NW,23rd & Eads St,5
10th & E St NW,24th & N St NW,98
10th & E St NW,25th St & Pennsylvania Ave NW,369
10th & E St NW,27th & Crystal Dr,14
10th & E St NW,28th St S & S Meade St,2
10th & E St NW,2nd & G St NE,86
10th & E St NW,2nd St & Massachusetts Ave NE,42
10th & E St NW,3000 Connecticut Ave NW / National Zoo,34
10th & E St NW,33rd & Water St NW,43
10th & E St NW,34th St & Wisconsin Ave NW,33
10th & E St NW,36th & Calvert St NW / Glover Park,30
10th & E St NW,37th & O St NW / Georgetown University,63
10th & E St NW,39th & Calvert St NW / Stoddert,102
10th & E St NW,3rd & D St SE,441
10th & E St NW,3rd & Elm St NW,72
10th & E St NW,3rd & G St SE,259
10th & E St NW,3rd & H St NE,463
10th & E St NW,3rd & H St NW,335
10th & E St NW,3rd & Tingey St SE,75
10th & E St NW,3rd St & Pennsylvania Ave SE,303
10th & E St NW,4th & D St NW / Judiciary Square,488
10th & E St NW,4th & E St SW,723
10th & E St NW,4th & East Capitol St NE,684
10th & E St NW,4th & M St SW,1234
10th & E St NW,4th & W St NE,45
10th & E St NW,5th & F St NW,481
10th & E St NW,5th & K St NW,1169
10th & E St NW,5th St & Massachusetts Ave NW,1214
10th & E St NW,6th & H St NE,328
10th & E St NW,6th & Water St SW / SW Waterfront,253
10th & E St NW,6th St & Indiana Ave NW,462
10th & E St NW,7th & F St NW / National Portrait Gallery,983
10th & E St NW,7th & R St NW / Shaw Library,158
10th & E St NW,7th & T St NW,134
10th & E St NW,8th & D St NW,407
10th & E St NW,8th & East Capitol St NE,319
10th & E St NW,8th & Eye St SE / Barracks Row,93
10th & E St NW,8th & F St NE,288
10th & E St NW,8th & F St NW,75
10th & E St NW,8th & H St NW,764
10th & E St NW,8th & O St NW,81
10th & E St NW,9th & Upshur St NW,44
10th & E St NW,Adams Mill & Columbia Rd NW,120
10th & E St NW,Anacostia Ave & Benning Rd NE / River Terrace,1
10th & E St NW,Anacostia Library,4
10th & E St NW,Anacostia Metro,2
10th & E St NW,Arlington Blvd & Fillmore St,1
10th & E St NW,Arlington Blvd & N Queen St,5
10th & E St NW,Ballston Metro / N Stuart & 9th St N,1
10th & E St NW,Barton St & 10th St N,22
10th & E St NW,Benning Rd & East Capitol St NE / Benning Rd Metro,3
10th & E St NW,Bethesda Ave & Arlington Rd,1
10th & E St NW,Bladensburg Rd & Benning Rd NE,84
10th & E St NW,Braddock Rd Metro,2
10th & E St NW,C & O Canal & Wisconsin Ave NW,203
10th & E St NW,California St & Florida Ave NW,266
10th & E St NW,Calvert & Biltmore St NW,12
10th & E St NW,Calvert St & Woodley Pl NW,64
10th & E St NW,Clarendon Blvd & N Fillmore St,2
10th & E St NW,Clarendon Blvd & Pierce St,11
10th & E St NW,Clarendon Metro / Wilson Blvd & N Highland St,2
10th & E St NW,Columbia Pike & S Courthouse Rd,1
10th & E St NW,Columbia Pike & S Orme St,9
10th & E St NW,Columbia Rd & Belmont St NW,65
10th & E St NW,Columbia Rd & Georgia Ave NW,28
10th & E St NW,Columbus Circle / Union Station,1688
10th & E St NW,Commerce St & Fayette St,1
10th & E St NW,Connecticut & Nebraska Ave NW,2
10th & E St NW,Connecticut Ave & Newark St NW / Cleveland Park,14
10th & E St NW,Connecticut Ave & Tilden St NW,4
10th & E St NW,Constitution Ave & 2nd St NW/DOL,744
10th & E St NW,Convention Center / 7th & M St NW,325
10th & E St NW,Court House Metro / 15th & N Uhle St,19
10th & E St NW,Crystal City Metro / 18th & Bell St,18
10th & E St NW,D St & Maryland Ave NE,685
10th & E St NW,Eastern Market / 7th & North Carolina Ave SE,267
10th & E St NW,Eastern Market Metro / Pennsylvania Ave & 7th St SE,352
10th & E St NW,Eckington Pl & Q St NE,62
10th & E St NW,Fairfax Dr & Kenmore St,2
10th & E St NW,Fairfax Dr & Wilson Blvd,3
10th & E St NW,Fenton St & Ellsworth Dr,1
10th & E St NW,Fessenden St & Wisconsin Ave NW,1
10th & E St NW,Florida Ave & R St NW,136
10th & E St NW,Fort Totten Metro,1
10th & E St NW,Gallaudet / 8th St & Florida Ave NE,78
10th & E St NW,George Mason Dr & Wilson Blvd,8
10th & E St NW,Georgetown Harbor / 30th St NW,206
10th & E St NW,Georgia & New Hampshire Ave NW,141
10th & E St NW,Georgia Ave & Emerson St NW,3
10th & E St NW,Georgia Ave & Spring St,1
10th & E St NW,Georgia Ave and Fairmont St NW,53
10th & E St NW,Good Hope Rd & 14th St SE,3
10th & E St NW,Hains Point/Buckeye & Ohio Dr SW,77
10th & E St NW,Hamlin & 7th St NE,9
10th & E St NW,Harvard St & Adams Mill Rd NW,20
10th & E St NW,Henry Bacon Dr & Lincoln Memorial Circle NW,13
10th & E St NW,Henry St & Pendleton St,6
10th & E St NW,Independence Ave & L'Enfant Plaza SW/DOE,136
10th & E St NW,Iwo Jima Memorial/N Meade & 14th St N,85
10th & E St NW,Jefferson Dr & 14th St SW,1614
10th & E St NW,Jefferson Memorial,742
10th & E St NW,John McCormack Dr & Michigan Ave NE,13
10th & E St NW,Kennedy Center,57
10th & E St NW,Key Blvd & N Quinn St,7
10th & E St NW,King St & Patrick St,2
10th & E St NW,King St Metro South,1
10th & E St NW,L'Enfant Plaza / 7th & C St SW,918
10th & E St NW,Lamont & Mt Pleasant NW,60
10th & E St NW,Lee Hwy & N Adams St,1
10th & E St NW,Lee Hwy & N Scott St,4
10th & E St NW,Lincoln Memorial,1565
10th & E St NW,Lincoln Park / 13th & East Capitol St NE,487
10th & E St NW,Lynn & 19th St North,59
10th & E St NW,M St & Delaware Ave NE,188
10th & E St NW,M St & New Jersey Ave SE,160
10th & E St NW,M St & Pennsylvania Ave NW,381
10th & E St NW,Market Square / King St & Royal St,6
10th & E St NW,Maryland & Independence Ave SW,1275
10th & E St NW,Maryland Ave & E St NE,16
10th & E St NW,Massachusetts Ave & Dupont Circle NW,537
10th & E St NW,Metro Center / 12th & G St NW,463
10th & E St NW,MLK Library/9th & G St NW,85
10th & E St NW,Mount Vernon Ave & E Del Ray Ave,3
10th & E St NW,Mount Vernon Ave & Kennedy St,2
10th & E St NW,N Pershing Dr & Wayne St,2
10th & E St NW,N Quincy St & Glebe Rd,3
10th & E St NW,N Rhodes & 16th St N,8
10th & E St NW,N Veitch  & 20th St N,2
10th & E St NW,Nannie Helen Burroughs & Minnesota Ave NE,20
10th & E St NW,Neal St & Trinidad Ave NE,49
10th & E St NW,New Hampshire Ave & 24th St NW,55
10th & E St NW,New Hampshire Ave & T St NW,193
10th & E St NW,New Jersey Ave & N St NW/Dunbar HS,111
10th & E St NW,New Jersey Ave & R St NW,161
10th & E St NW,New York Ave & 15th St NW,835
10th & E St NW,New York Ave & Hecht Ave NE,1
10th & E St NW,North Capitol St & F St NW,1565
10th & E St NW,North Capitol St & G Pl NE,106
10th & E St NW,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,286
10th & E St NW,Oklahoma Ave & D St NE,8
10th & E St NW,Park Rd & Holmead Pl NW,181
10th & E St NW,Pennsylvania & Minnesota Ave SE,2
10th & E St NW,Pentagon City Metro / 12th & S Hayes St,27
10th & E St NW,Pleasant St & MLK Ave SE,4
10th & E St NW,Potomac & Pennsylvania Ave SE,100
10th & E St NW,Potomac Ave & 8th St SE,1
10th & E St NW,Potomac Greens Dr & Slaters Ln,1
10th & E St NW,Prince St & Union St,10
10th & E St NW,Rhode Island Ave & V St NE,27
10th & E St NW,Rhode Island Ave Metro,12
10th & E St NW,Ripley & Bonifant St,1
10th & E St NW,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,43
10th & E St NW,S Arlington Mill Dr & Campbell Ave,3
10th & E St NW,S Glebe & Potomac Ave,8
10th & E St NW,S Joyce & 16th St S,3
10th & E St NW,S Joyce & Army Navy Dr,11
10th & E St NW,Saint Asaph & Madison St,2
10th & E St NW,Saint Asaph St & Pendleton  St,7
10th & E St NW,Smithsonian / Jefferson Dr & 12th St SW,990
10th & E St NW,Takoma Metro,2
10th & E St NW,Tenleytown / Wisconsin Ave & Albemarle St NW,12
10th & E St NW,Thomas Circle,797
10th & E St NW,Union Market/6th St & Neal Pl NE,11
10th & E St NW,US Dept of State / Virginia Ave & 21st St NW,113
10th & E St NW,USDA / 12th & Independence Ave SW,467
10th & E St NW,Utah St & 11th St N,2
10th & E St NW,Van Ness Metro / UDC,1
10th & E St NW,Ward Circle / American University,3
10th & E St NW,Washington & Independence Ave SW/HHS,537
10th & E St NW,Washington Blvd & 10th St N,3
10th & E St NW,Wilson Blvd & Franklin Rd,5
10th & E St NW,Wilson Blvd & N Edgewood St,4
10th & E St NW,Wilson Blvd & N Quincy St,3
10th & E St NW,Wilson Blvd & N Uhle St,5
10th & E St NW,Wisconsin Ave & Newark St NW,9
10th & E St NW,Wisconsin Ave & O St NW,60
10th & Florida Ave NW,10th & E St NW,65
10th & Florida Ave NW,10th & K St NW,97
10th & Florida Ave NW,10th & Monroe St NE,18
10th & Florida Ave NW,10th & U St NW,469
10th & Florida Ave NW,10th St & Constitution Ave NW,64
10th & Florida Ave NW,11th & F St NW,145
10th & Florida Ave NW,11th & H St NE,24
10th & Florida Ave NW,11th & Kenyon St NW,815
10th & Florida Ave NW,11th & M St NW,249
10th & Florida Ave NW,11th & S St NW,97
10th & Florida Ave NW,12th & Irving St NE,5
10th & Florida Ave NW,12th & L St NW,53
10th & Florida Ave NW,12th & Newton St NE,24
10th & Florida Ave NW,12th & U St NW,163
10th & Florida Ave NW,13th & D St NE,13
10th & Florida Ave NW,13th & H St NE,47
10th & Florida Ave NW,13th St & New York Ave NW,361
10th & Florida Ave NW,14th & Belmont St NW,286
10th & Florida Ave NW,14th & D St NW / Ronald Reagan Building,63
10th & Florida Ave NW,14th & G St NW,192
10th & Florida Ave NW,14th & Girard St NW,10
10th & Florida Ave NW,14th & Harvard St NW,204
10th & Florida Ave NW,14th & L St NW,4
10th & Florida Ave NW,14th & R St NW,302
10th & Florida Ave NW,14th & Rhode Island Ave NW,216
10th & Florida Ave NW,14th & Upshur St NW,31
10th & Florida Ave NW,14th & V St NW,456
10th & Florida Ave NW,14th St & Colorado Ave NW,8
10th & Florida Ave NW,14th St & New York Ave NW,95
10th & Florida Ave NW,14th St & Spring Rd NW,101
10th & Florida Ave NW,14th St Heights / 14th & Crittenden St NW,16
10th & Florida Ave NW,15th & Crystal Dr,2
10th & Florida Ave NW,15th & East Capitol St NE,7
10th & Florida Ave NW,15th & Euclid St  NW,95
10th & Florida Ave NW,15th & F St NE,8
10th & Florida Ave NW,15th & K St NW,100
10th & Florida Ave NW,15th & L St NW,217
10th & Florida Ave NW,15th & P St NW,371
10th & Florida Ave NW,15th St & Massachusetts Ave SE,1
10th & Florida Ave NW,16th & Harvard St NW,127
10th & Florida Ave NW,16th & Irving St NW,6
10th & Florida Ave NW,16th & R St NW,18
10th & Florida Ave NW,17th & Corcoran St NW,254
10th & Florida Ave NW,17th & G St NW,39
10th & Florida Ave NW,17th & K St NW,285
10th & Florida Ave NW,17th & K St NW / Farragut Square,93
10th & Florida Ave NW,17th & Rhode Island Ave NW,406
10th & Florida Ave NW,17th St & Massachusetts Ave NW,195
10th & Florida Ave NW,18th & C St NW,1
10th & Florida Ave NW,18th & M St NW,72
10th & Florida Ave NW,18th & R St NW,100
10th & Florida Ave NW,18th St & Pennsylvania Ave NW,53
10th & Florida Ave NW,18th St & Rhode Island Ave NE,17
10th & Florida Ave NW,18th St & Wyoming Ave NW,105
10th & Florida Ave NW,19th & E Street NW,10
10th & Florida Ave NW,19th & East Capitol St SE,7
10th & Florida Ave NW,19th & G St NW,19
10th & Florida Ave NW,19th & K St NW,92
10th & Florida Ave NW,19th & L St NW,90
10th & Florida Ave NW,19th St & Constitution Ave NW,46
10th & Florida Ave NW,19th St & Pennsylvania Ave NW,67
10th & Florida Ave NW,1st & H St NW,108
10th & Florida Ave NW,1st & K St SE,58
10th & Florida Ave NW,1st & M St NE,224
10th & Florida Ave NW,1st & N St SE,27
10th & Florida Ave NW,1st & O St NW,13
10th & Florida Ave NW,1st & Rhode Island Ave NW,180
10th & Florida Ave NW,1st & Washington Hospital Center NW,53
10th & Florida Ave NW,20th & E St NW,51
10th & Florida Ave NW,20th & L St NW,83
10th & Florida Ave NW,20th & O St NW / Dupont South,200
10th & Florida Ave NW,20th St & Florida Ave NW,242
10th & Florida Ave NW,20th St & Virginia Ave NW,25
10th & Florida Ave NW,21st & I St NW,199
10th & Florida Ave NW,21st & M St NW,362
10th & Florida Ave NW,21st St & Constitution Ave NW,31
10th & Florida Ave NW,21st St & Pennsylvania Ave NW,126
10th & Florida Ave NW,22nd & I St NW / Foggy Bottom,60
10th & Florida Ave NW,23rd & E St NW ,140
10th & Florida Ave NW,24th & N St NW,66
10th & Florida Ave NW,25th St & Pennsylvania Ave NW,46
10th & Florida Ave NW,2nd & G St NE,81
10th & Florida Ave NW,2nd St & Massachusetts Ave NE,2
10th & Florida Ave NW,3000 Connecticut Ave NW / National Zoo,11
10th & Florida Ave NW,33rd & Water St NW,26
10th & Florida Ave NW,34th St & Wisconsin Ave NW,10
10th & Florida Ave NW,36th & Calvert St NW / Glover Park,4
10th & Florida Ave NW,37th & O St NW / Georgetown University,122
10th & Florida Ave NW,39th & Calvert St NW / Stoddert,4
10th & Florida Ave NW,3rd & D St SE,13
10th & Florida Ave NW,3rd & Elm St NW,136
10th & Florida Ave NW,3rd & G St SE,3
10th & Florida Ave NW,3rd & H St NE,56
10th & Florida Ave NW,3rd & H St NW,39
10th & Florida Ave NW,3rd & Tingey St SE,30
10th & Florida Ave NW,3rd St & Pennsylvania Ave SE,17
10th & Florida Ave NW,4th & D St NW / Judiciary Square,24
10th & Florida Ave NW,4th & E St SW,75
10th & Florida Ave NW,4th & East Capitol St NE,15
10th & Florida Ave NW,4th & M St SW,16
10th & Florida Ave NW,4th & W St NE,22
10th & Florida Ave NW,5th & F St NW,98
10th & Florida Ave NW,5th & K St NW,244
10th & Florida Ave NW,5th & Kennedy St NW,20
10th & Florida Ave NW,5th St & Massachusetts Ave NW,236
10th & Florida Ave NW,6th & H St NE,25
10th & Florida Ave NW,6th & Water St SW / SW Waterfront,11
10th & Florida Ave NW,6th St & Indiana Ave NW,53
10th & Florida Ave NW,7th & F St NW / National Portrait Gallery,119
10th & Florida Ave NW,7th & R St NW / Shaw Library,271
10th & Florida Ave NW,7th & T St NW,269
10th & Florida Ave NW,8th & D St NW,58
10th & Florida Ave NW,8th & East Capitol St NE,14
10th & Florida Ave NW,8th & Eye St SE / Barracks Row,1
10th & Florida Ave NW,8th & F St NE,12
10th & Florida Ave NW,8th & F St NW,15
10th & Florida Ave NW,8th & H St NW,414
10th & Florida Ave NW,8th & O St NW,94
10th & Florida Ave NW,9th & Upshur St NW,117
10th & Florida Ave NW,Adams Mill & Columbia Rd NW,96
10th & Florida Ave NW,Bladensburg Rd & Benning Rd NE,17
10th & Florida Ave NW,C & O Canal & Wisconsin Ave NW,66
10th & Florida Ave NW,California St & Florida Ave NW,442
10th & Florida Ave NW,Calvert & Biltmore St NW,9
10th & Florida Ave NW,Calvert St & Woodley Pl NW,63
10th & Florida Ave NW,Columbia Rd & Belmont St NW,24
10th & Florida Ave NW,Columbia Rd & Georgia Ave NW,254
10th & Florida Ave NW,Columbus Circle / Union Station,51
10th & Florida Ave NW,Connecticut & Nebraska Ave NW,2
10th & Florida Ave NW,Connecticut Ave & Newark St NW / Cleveland Park,4
10th & Florida Ave NW,Connecticut Ave & Tilden St NW,5
10th & Florida Ave NW,Constitution Ave & 2nd St NW/DOL,61
10th & Florida Ave NW,Convention Center / 7th & M St NW,427
10th & Florida Ave NW,D St & Maryland Ave NE,21
10th & Florida Ave NW,Eastern Market / 7th & North Carolina Ave SE,13
10th & Florida Ave NW,Eastern Market Metro / Pennsylvania Ave & 7th St SE,41
10th & Florida Ave NW,Eckington Pl & Q St NE,80
10th & Florida Ave NW,Fairfax Dr & Wilson Blvd,1
10th & Florida Ave NW,Fenton St & Ellsworth Dr,1
10th & Florida Ave NW,Fenton St & New York Ave,1
10th & Florida Ave NW,Florida Ave & R St NW,309
10th & Florida Ave NW,Fort Totten Metro,2
10th & Florida Ave NW,Gallaudet / 8th St & Florida Ave NE,27
10th & Florida Ave NW,Georgetown Harbor / 30th St NW,176
10th & Florida Ave NW,Georgia & New Hampshire Ave NW,266
10th & Florida Ave NW,Georgia Ave & Emerson St NW,9
10th & Florida Ave NW,Georgia Ave and Fairmont St NW,83
10th & Florida Ave NW,Good Hope Rd & 14th St SE,4
10th & Florida Ave NW,Hains Point/Buckeye & Ohio Dr SW,5
10th & Florida Ave NW,Hamlin & 7th St NE,11
10th & Florida Ave NW,Harvard St & Adams Mill Rd NW,17
10th & Florida Ave NW,Independence Ave & L'Enfant Plaza SW/DOE,2
10th & Florida Ave NW,Iwo Jima Memorial/N Meade & 14th St N,2
10th & Florida Ave NW,Jefferson Dr & 14th St SW,43
10th & Florida Ave NW,Jefferson Memorial,8
10th & Florida Ave NW,John McCormack Dr & Michigan Ave NE,10
10th & Florida Ave NW,Kennedy Center,31
10th & Florida Ave NW,L'Enfant Plaza / 7th & C St SW,46
10th & Florida Ave NW,Lamont & Mt Pleasant NW,147
10th & Florida Ave NW,Lee Hwy & N Cleveland St,1
10th & Florida Ave NW,Lee Hwy & N Scott St,1
10th & Florida Ave NW,Lincoln Memorial,11
10th & Florida Ave NW,Lincoln Park / 13th & East Capitol St NE,54
10th & Florida Ave NW,Lynn & 19th St North,5
10th & Florida Ave NW,M St & Delaware Ave NE,77
10th & Florida Ave NW,M St & New Jersey Ave SE,29
10th & Florida Ave NW,M St & Pennsylvania Ave NW,224
10th & Florida Ave NW,Market Square / King St & Royal St,1
10th & Florida Ave NW,Maryland & Independence Ave SW,62
10th & Florida Ave NW,Massachusetts Ave & Dupont Circle NW,779
10th & Florida Ave NW,Metro Center / 12th & G St NW,283
10th & Florida Ave NW,MLK Library/9th & G St NW,108
10th & Florida Ave NW,Neal St & Trinidad Ave NE,14
10th & Florida Ave NW,New Hampshire Ave & 24th St NW,286
10th & Florida Ave NW,New Hampshire Ave & T St NW,659
10th & Florida Ave NW,New Jersey Ave & N St NW/Dunbar HS,58
10th & Florida Ave NW,New Jersey Ave & R St NW,114
10th & Florida Ave NW,New York Ave & 15th St NW,64
10th & Florida Ave NW,North Capitol St & F St NW,54
10th & Florida Ave NW,North Capitol St & G Pl NE,167
10th & Florida Ave NW,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,7
10th & Florida Ave NW,Oklahoma Ave & D St NE,1
10th & Florida Ave NW,Park Rd & Holmead Pl NW,350
10th & Florida Ave NW,Potomac & Pennsylvania Ave SE,3
10th & Florida Ave NW,Rhode Island Ave & V St NE,28
10th & Florida Ave NW,Rhode Island Ave Metro,19
10th & Florida Ave NW,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,8
10th & Florida Ave NW,Smithsonian / Jefferson Dr & 12th St SW,22
10th & Florida Ave NW,Takoma Metro,5
10th & Florida Ave NW,Thomas Circle,519
10th & Florida Ave NW,Union Market/6th St & Neal Pl NE,38
10th & Florida Ave NW,US Dept of State / Virginia Ave & 21st St NW,145
10th & Florida Ave NW,USDA / 12th & Independence Ave SW,177
10th & Florida Ave NW,Van Ness Metro / UDC,15
10th & Florida Ave NW,Ward Circle / American University,1
10th & Florida Ave NW,Washington & Independence Ave SW/HHS,42
10th & Florida Ave NW,Wisconsin Ave & O St NW,49
10th & K St NW,10th & E St NW,417
10th & K St NW,10th & Florida Ave NW,67
10th & K St NW,10th & Monroe St NE,2
10th & K St NW,10th & U St NW,150
10th & K St NW,10th St & Constitution Ave NW,267
10th & K St NW,10th St & L'Enfant Plaza SW,4
10th & K St NW,11th & F St NW,280
10th & K St NW,11th & H St NE,104
10th & K St NW,11th & Kenyon St NW,115
10th & K St NW,11th & M St NW,202
10th & K St NW,11th & S St NW,194
10th & K St NW,12th & Army Navy Dr,1
10th & K St NW,12th & Irving St NE,1
10th & K St NW,12th & L St NW,59
10th & K St NW,12th & Newton St NE,1
10th & K St NW,12th & U St NW,180
10th & K St NW,13th & D St NE,15
10th & K St NW,13th & H St NE,71
10th & K St NW,13th St & New York Ave NW,258
10th & K St NW,14th & Belmont St NW,106
10th & K St NW,14th & D St NW / Ronald Reagan Building,157
10th & K St NW,14th & D St SE,20
10th & K St NW,14th & G St NW,154
10th & K St NW,14th & Harvard St NW,27
10th & K St NW,14th & L St NW,14
10th & K St NW,14th & R St NW,162
10th & K St NW,14th & Rhode Island Ave NW,174
10th & K St NW,14th & Upshur St NW,42
10th & K St NW,14th & V St NW,172
10th & K St NW,14th St & Colorado Ave NW,4
10th & K St NW,14th St & New York Ave NW,115
10th & K St NW,14th St & Spring Rd NW,100
10th & K St NW,14th St Heights / 14th & Crittenden St NW,5
10th & K St NW,15th & Crystal Dr,1
10th & K St NW,15th & East Capitol St NE,7
10th & K St NW,15th & Euclid St  NW,41
10th & K St NW,15th & F St NE,14
10th & K St NW,15th & K St NW,143
10th & K St NW,15th & L St NW,51
10th & K St NW,15th & P St NW,268
10th & K St NW,15th St & Massachusetts Ave SE,20
10th & K St NW,16th & Harvard St NW,27
10th & K St NW,16th & Irving St NW,4
10th & K St NW,16th & R St NW,14
10th & K St NW,17th & Corcoran St NW,117
10th & K St NW,17th & G St NW,237
10th & K St NW,17th & K St NW,205
10th & K St NW,17th & K St NW / Farragut Square,260
10th & K St NW,17th & Rhode Island Ave NW,135
10th & K St NW,17th St & Independence Ave SW,4
10th & K St NW,17th St & Massachusetts Ave NW,146
10th & K St NW,18th & C St NW,4
10th & K St NW,18th & M St NW,84
10th & K St NW,18th & R St NW,91
10th & K St NW,18th St & Pennsylvania Ave NW,352
10th & K St NW,18th St & Wyoming Ave NW,61
10th & K St NW,19th & E Street NW,23
10th & K St NW,19th & East Capitol St SE,4
10th & K St NW,19th & G St NW,101
10th & K St NW,19th & K St NW,109
10th & K St NW,19th & L St NW,69
10th & K St NW,19th St & Constitution Ave NW,138
10th & K St NW,19th St & Pennsylvania Ave NW,46
10th & K St NW,1st & H St NW,113
10th & K St NW,1st & K St SE,35
10th & K St NW,1st & M St NE,200
10th & K St NW,1st & N St SE,20
10th & K St NW,1st & O St NW,28
10th & K St NW,1st & Rhode Island Ave NW,58
10th & K St NW,1st & Washington Hospital Center NW,10
10th & K St NW,20th & E St NW,263
10th & K St NW,20th & L St NW,67
10th & K St NW,20th & O St NW / Dupont South,75
10th & K St NW,20th St & Florida Ave NW,41
10th & K St NW,20th St & Virginia Ave NW,72
10th & K St NW,21st & I St NW,163
10th & K St NW,21st & M St NW,145
10th & K St NW,21st St & Constitution Ave NW,40
10th & K St NW,21st St & Pennsylvania Ave NW,73
10th & K St NW,22nd & I St NW / Foggy Bottom,97
10th & K St NW,23rd & Crystal Dr,2
10th & K St NW,23rd & E St NW ,44
10th & K St NW,24th & N St NW,109
10th & K St NW,25th St & Pennsylvania Ave NW,102
10th & K St NW,2nd & G St NE,51
10th & K St NW,2nd St & Massachusetts Ave NE,3
10th & K St NW,3000 Connecticut Ave NW / National Zoo,11
10th & K St NW,33rd & Water St NW,14
10th & K St NW,34th St & Wisconsin Ave NW,9
10th & K St NW,36th & Calvert St NW / Glover Park,4
10th & K St NW,37th & O St NW / Georgetown University,30
10th & K St NW,39th & Calvert St NW / Stoddert,1
10th & K St NW,39th & Veazey St NW,1
10th & K St NW,3rd & D St SE,23
10th & K St NW,3rd & Elm St NW,45
10th & K St NW,3rd & G St SE,2
10th & K St NW,3rd & H St NE,120
10th & K St NW,3rd & H St NW,101
10th & K St NW,3rd & Tingey St SE,8
10th & K St NW,3rd St & Pennsylvania Ave SE,51
10th & K St NW,4th & D St NW / Judiciary Square,44
10th & K St NW,4th & E St SW,54
10th & K St NW,4th & East Capitol St NE,94
10th & K St NW,4th & M St SW,109
10th & K St NW,4th & W St NE,14
10th & K St NW,5th & F St NW,192
10th & K St NW,5th & K St NW,575
10th & K St NW,5th & Kennedy St NW,1
10th & K St NW,5th St & Massachusetts Ave NW,335
10th & K St NW,6th & H St NE,40
