StartDate,Ridership
2011/8/5,9716
2011/8/6,8584
2011/8/7,7562
2011/8/8,8630
2011/8/9,9176
2011/8/10,9534
2011/8/11,9560
2011/8/12,9788
2011/8/13,8282
2011/8/14,7638
2011/8/15,8674
2011/8/16,9430
2011/8/17,9362
2011/8/18,7594
2011/8/19,8290
2011/8/20,10380
2011/8/21,7742
2011/8/22,9508
2011/8/23,11762
2011/8/24,10228
2011/8/25,7066
2011/8/26,9310
2011/8/27,2230
2011/8/28,8662
2011/8/29,9246
2011/8/30,10388
2011/8/31,10094
2011/9/1,10200
2011/9/2,9436
2011/9/3,8960
2011/9/4,9878
2011/9/5,6702
2011/9/6,5396
2011/9/7,3974
2011/9/8,3660
2011/9/9,7068
2011/9/10,10680
2011/9/11,10076
2011/9/12,9402
2011/9/13,9492
2011/9/14,9552
2011/9/15,7292
2011/9/16,9484
2011/9/17,9018
2011/9/18,8548
2011/9/19,9052
2011/9/20,7266
2011/9/21,8686
2011/9/22,9566
2011/9/23,4772
2011/9/24,10832
2011/9/25,10016
2011/9/26,9240
2011/9/27,8214
2011/9/28,7804
2011/9/29,9672
2011/9/30,10378
2011/10/1,4848
2011/10/2,5836
2011/10/3,7122
2011/10/4,8886
2011/10/5,9630
2011/10/6,9502
2011/10/7,9942
2011/10/8,10816
2011/10/9,11018
2011/10/10,10220
2011/10/11,9100
2011/10/12,4814
2011/10/13,5806
2011/10/14,7268
2011/10/15,10428
2011/10/16,10078
2011/10/17,9130
2011/10/18,9472
2011/10/19,4834
2011/10/20,8372
2011/10/21,8592
2011/10/22,8612
2011/10/23,8758
2011/10/24,8354
2011/10/25,9352
2011/10/26,7772
2011/10/27,5304
2011/10/28,7488
2011/10/29,1254
2011/10/30,6654
2011/10/31,7322
2011/11/1,8122
2011/11/2,8352
2011/11/3,7922
2011/11/4,8078
2011/11/5,7840
2011/11/6,7296
2011/11/7,8016
2011/11/8,8394
2011/11/9,8214
2011/11/10,5852
2011/11/11,6720
2011/11/12,8130
2011/11/13,7426
2011/11/14,8938
2011/11/15,8368
2011/11/16,3626
2011/11/17,6088
2011/11/18,6772
2011/11/19,7312
2011/11/20,7028
2011/11/21,5524
2011/11/22,3202
2011/11/23,5126
2011/11/24,2988
2011/11/25,5576
2011/11/26,6132
2011/11/27,6130
2011/11/28,7706
2011/11/29,5810
2011/11/30,7210
2011/12/1,7424
2011/12/2,7858
2011/12/3,7222
2011/12/4,6966
2011/12/5,7600
2011/12/6,5172
2011/12/7,1404
2011/12/8,6626
2011/12/9,7220
2011/12/10,6368
2011/12/11,5480
2011/12/12,6584
2011/12/13,7020
2011/12/14,7450
2011/12/15,7396
2011/12/16,7112
2011/12/17,5468
2011/12/18,4850
2011/12/19,6790
2011/12/20,7482
2011/12/21,5308
2011/12/22,6120
2011/12/23,4404
2011/12/24,2020
2011/12/25,1508
2011/12/26,2632
2011/12/27,2314
2011/12/28,4594
2011/12/29,4832
2011/12/30,5982
2011/12/31,4968
2012/1/1,2294
2012/1/2,1950
2012/1/3,2233
2012/1/4,2367
2012/1/5,3269
2012/1/6,4091
2012/1/7,4520
2012/1/8,3424
2012/1/9,2370
2012/1/10,3592
2012/1/11,2174
2012/1/12,4091
