id,name,terminalName,lat,long,nbBikes,nbEmptyDocks
23,15th & P St NW,31201,38.90985,-77.034438,10,8
394,22nd & P ST NW,31285,38.909394,-77.048728,3,14
107,20th & O St NW / Dupont South,31234,38.908905,-77.04478,3,15
391,1st & O St NW,31519,38.908643,-77.012365,3,12
370,8th & O St NW,31281,38.90864,-77.02277,6,13
25,14th & Rhode Island Ave NW,31203,38.9086,-77.0323,14,8
226,Wisconsin Ave & O St NW,31312,38.90849,-77.063586,12,6
304,Deanwood Rec Center,31711,38.908473,-76.933099,7,8
399,11th & O St NW,31286,38.90843,-77.02714,5,12
229,17th St & Massachusetts Ave NW,31267,38.908142,-77.038359,0,17
353,Union Market/6th St & Neal Pl NE,31517,38.908008,-76.996985,18,3
110,37th & O St NW / Georgetown University,31236,38.90774,-77.071652,5,17
302,New Jersey Ave & N St NW/Dunbar HS,31636,38.90706,-77.015231,3,15
136,17th & Rhode Island Ave NW,31239,38.906602,-77.038785,4,18
198,24th & N St NW,31255,38.9066,-77.05152,6,9
137,Thomas Circle,31241,38.9059,-77.0325,6,27
84,Convention Center / 7th & M St NW,31223,38.905737,-77.02227,1,18
210,M St & Delaware Ave NE,31627,38.905707,-77.003041,12,9
52,1st & M St NE,31603,38.9057,-77.0056,6,6
115,11th & M St NW,31266,38.905607,-77.027137,3,16
53,21st & M St NW,31212,38.90534,-77.046774,14,5
153,M St & Pennsylvania Ave NW,31246,38.905126,-77.056887,13,6
183,Gallaudet / 8th St & Florida Ave NE,31508,38.90509,-76.9941,6,13
79,18th & M St NW,31221,38.904742,-77.041606,9,8
112,25th St & Pennsylvania Ave NW,31237,38.903827,-77.053485,8,7
186,12th & L St NW,31251,38.903819,-77.0284,3,16
87,C & O Canal & Wisconsin Ave NW,31225,38.90375,-77.06269,8,15
241,Neal St & Trinidad Ave NE,31512,38.903732,-76.987211,4,11
348,15th & L St NW,31276,38.90366,-77.034846,8,15
390,14th & L St NW,31283,38.903658,-77.031737,10,8
413,New Jersey Ave & L St NW,31642,38.903598,-77.01397,5,18
185,20th & L St NW,31250,38.903584,-77.044789,18,1
86,19th & L St NW,31224,38.903407,-77.043648,10,4
330,33rd & Water St NW,31314,38.903295,-77.065884,1,18
31,5th & K St NW,31600,38.90304,-77.019027,4,14
54,17th & K St NW,31213,38.90276,-77.03863,9,13
419,16th & K St NW,31291,38.90268,-77.035737,21,2
159,10th & K St NW,31263,38.9024,-77.02622,15,8
72,Georgetown Harbor / 30th St NW,31215,38.9022212,-77.059219,6,13
188,19th & K St NW,31253,38.902204,-77.04337,21,2
106,17th & K St NW / Farragut Square,31233,38.902061,-77.038322,16,18
193,15th & K St NW,31254,38.902,-77.03353,21,6
336,New Hampshire Ave & 24th St NW,31275,38.901755,-77.051084,16,3
187,21st St & Pennsylvania Ave NW,31252,38.901539,-77.046564,15,4
38,Nannie Helen Burroughs & Minnesota Ave NE,31704,38.901385,-76.941877,7,4
207,5th St & Massachusetts Ave NW,31265,38.90093,-77.018677,6,13
