stationName,id,terminalName,lat,long,nbBikes,nbEmptyDocks
6th & H St NE,95,31615,38.899972,-76.998347,10,13
3rd & H St NE,96,31616,38.900412,-77.001949,11,8
Bladensburg Rd & Benning Rd NE,97,31617,38.900413,-76.982872,9,6
4th & East Capitol St NE,98,31618,38.889955,-77.000349,2,8
Lincoln Park / 13th & East Capitol St NE,99,31619,38.890461,-76.988355,1,23
13th & D St NE,101,31622,38.894832,-76.987633,5,26
New Hampshire Ave & T St NW,102,31229,38.91554,-77.03818,0,23
Metro Center / 12th & G St NW,103,31230,38.898364,-77.027869,30,0
14th & D St NW / Ronald Reagan Building,104,31231,38.894514,-77.031617,8,17
7th & F St NW / National Portrait Gallery,105,31232,38.897351,-77.022465,21,3
17th & K St NW / Farragut Square,106,31233,38.902061,-77.038322,16,18
20th & O St NW / Dupont South,107,31234,38.908905,-77.04478,3,15
4th & D St NW / Judiciary Square,108,31621,38.895344,-77.016106,4,9
19th St & Constitution Ave NW,109,31235,38.8923,-77.0436,24,11
37th & O St NW / Georgetown University,110,31236,38.90774,-77.071652,5,17
11th & H St NE,111,31614,38.899983,-76.991383,2,16
25th St & Pennsylvania Ave NW,112,31237,38.903827,-77.053485,8,7
Columbus Circle / Union Station,113,31623,38.89696,-77.00493,36,7
North Capitol St & F St NW,114,31624,38.897446,-77.009888,18,5
11th & M St NW,115,31266,38.905607,-77.027137,3,16
14th & G St NW,117,31238,38.898069,-77.031823,9,11
Potomac Ave & 35th St S,118,31052,38.844015,-77.050537,14,9
Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,124,31240,38.88412,-77.04657,3,19
11th & F St NW,125,31262,38.897857,-77.026975,9,6
23rd & E St NW ,126,31260,38.896104,-77.049882,17,1
Lynn & 19th St North,127,31014,38.897315,-77.070993,11,19
Rosslyn Metro / Wilson Blvd & Ft Myer Dr,128,31015,38.8946,-77.072305,3,16
Clarendon Blvd & Pierce St,129,31016,38.893438,-77.076389,5,10
Wilson Blvd & N Uhle St,130,31017,38.891696,-77.0846,6,9
N Rhodes & 16th St N,131,31018,38.892164,-77.079375,3,8
21st St & Constitution Ave NW,133,31261,38.892459,-77.046567,0,14
Wilson Blvd & N Edgewood St,134,31019,38.889,-77.0925,10,5
Columbia Rd & Belmont St NW,135,31113,38.920669,-77.04368,5,14
17th & Rhode Island Ave NW,136,31239,38.906602,-77.038785,4,18
Thomas Circle,137,31241,38.9059,-77.0325,6,27
Wilson Blvd & Franklin Rd,138,31020,38.8904,-77.0889,3,8
Clarendon Blvd & N Fillmore St,139,31021,38.8881,-77.09308,2,13
Clarendon Metro / Wilson Blvd & N Highland St,140,31022,38.88786,-77.094875,6,11
18th St & Pennsylvania Ave NW,141,31242,38.89968,-77.041539,15,12
Maryland & Independence Ave SW,142,31243,38.887299,-77.018939,23,13
4th & E St SW,143,31244,38.88412,-77.017445,7,12
3rd & G St SE,144,31625,38.881185,-77.001828,3,16
7th & R St NW / Shaw Library,145,31245,38.912719,-77.022155,3,12
9th & Upshur St NW,146,31404,38.9418,-77.0251,5,10
1st & Rhode Island Ave NW,147,31506,38.915417,-77.012289,4,11
Columbia Rd & Georgia Ave NW,148,31115,38.928156,-77.02344,6,12
California St & Florida Ave NW,149,31116,38.917761,-77.04062,3,16
3000 Connecticut Ave NW / National Zoo,151,31307,38.930282,-77.055599,1,14
M St & Pennsylvania Ave NW,153,31246,38.905126,-77.056887,13,6
15th St & Massachusetts Ave SE,154,31626,38.88732,-76.983569,3,12
Congress Heights Metro,155,31806,38.844711,-76.987823,6,8
N Quincy St & Glebe Rd,156,31035,38.876393,-77.107735,4,7
Wilson Blvd & N Oakland St,157,31033,38.8815,-77.10396,6,5
N Veitch  & 20th St N,158,31029,38.896923,-77.086502,1,13
10th & K St NW,159,31263,38.9024,-77.02622,15,8
Fairfax Dr & Wilson Blvd,160,31023,38.885801,-77.097745,5,6
Key Blvd & N Quinn St,161,31027,38.896015,-77.078107,6,5
1st & K St SE,162,31628,38.87861,-77.006004,6,7
1st & Washington Hospital Center NW,164,31507,38.928743,-77.012457,6,9
Virginia Square Metro / N Monroe St & 9th St N,165,31024,38.882788,-77.103148,5,13
Central Library / N Quincy St & 10th St N,166,31025,38.88397,-77.10783,5,6
Jefferson Dr & 14th St SW,168,31247,38.888553,-77.032429,18,4
Smithsonian / Jefferson Dr & 12th St SW,169,31248,38.888767,-77.02858,8,14
George Mason Dr & Wilson Blvd,170,31036,38.87887,-77.1207,6,9
6th St & Indiana Ave NW,171,31264,38.894573,-77.01994,7,12
N Veitch & Key Blvd,172,31028,38.893241,-77.086045,6,4
Lee Hwy & N Adams St,173,31030,38.89593,-77.089006,4,15
15th & N Scott St,174,31031,38.89054,-77.08095,1,10
Ballston Metro / N Stuart & 9th St N,176,31037,38.881044,-77.111768,9,14
N Randolph St & Fairfax Dr,177,31034,38.882629,-77.109366,2,8
Jefferson Memorial,178,31249,38.879819,-77.037413,14,6
Good Hope Rd & 14th St SE,179,31803,38.866611,-76.985238,11,4
Glebe Rd & 11th St N,180,31038,38.883921,-77.116817,2,9
Wilson Blvd & N Quincy St,181,31039,38.880012,-77.107854,1,13
Fairfax Dr & Kenmore St,182,31040,38.884616,-77.10108,1,10
