StartDate,Ridership,DayType
05-07-11,9304,No
06-07-11,9238,No
07-07-11,9156,No
08-07-11,8062,No
09-07-11,10660,No
10-07-11,9756,No
11-07-11,8156,No
12-07-11,8494,No
13-07-11,8666,No
14-07-11,10142,No
15-07-11,11056,No
16-07-11,11842,No
17-07-11,10594,No
18-07-11,8890,No
19-07-11,9066,No
20-07-11,8646,No
21-07-11,7548,No
22-07-11,6760,No
23-07-11,6564,No
24-07-11,7210,No
25-07-11,7668,No
26-07-11,9154,No
27-07-11,9288,No
28-07-11,8758,No
29-07-11,7688,No
30-07-11,8948,No
31-07-11,8600,No
01-08-11,8510,No
02-08-11,9670,No
03-08-11,7140,No
04-08-11,9138,No
05-08-11,9716,No
06-08-11,8584,No
07-08-11,7562,No
08-08-11,8630,No
09-08-11,9176,No
10-08-11,9534,No
11-08-11,9560,No
12-08-11,9788,No
13-08-11,8282,No
14-08-11,7638,No
15-08-11,8674,No
16-08-11,9430,No
17-08-11,9362,No
18-08-11,7594,No
19-08-11,8290,No
20-08-11,10380,No
21-08-11,7742,No
22-08-11,9508,No
23-08-11,11762,No
24-08-11,10228,No
25-08-11,7066,No
26-08-11,9310,No
27-08-11,2230,No
28-08-11,8662,No
29-08-11,9246,No
30-08-11,10388,No
31-08-11,10094,No
01-09-11,10200,No
02-09-11,9436,No
03-09-11,8960,No
04-09-11,9878,No
05-09-11,6702,Yes
06-09-11,5396,No
07-09-11,3974,No
08-09-11,3660,No
09-09-11,7068,No
10-09-11,10680,No
11-09-11,10076,No
12-09-11,9402,No
13-09-11,9492,No
14-09-11,9552,No
15-09-11,7292,No
16-09-11,9484,No
17-09-11,9018,No
18-09-11,8548,No
19-09-11,9052,No
20-09-11,7266,No
21-09-11,8686,No
22-09-11,9566,No
23-09-11,4772,No
24-09-11,10832,No
25-09-11,10016,No
26-09-11,9240,No
27-09-11,8214,No
28-09-11,7804,No
29-09-11,9672,No
30-09-11,10378,No
01-10-11,4848,No
02-10-11,5836,No
03-10-11,7122,No
04-10-11,8886,No
05-10-11,9630,No
06-10-11,9502,No
07-10-11,9942,No
08-10-11,10816,No
09-10-11,11018,No
10-10-11,10220,Yes
11-10-11,9100,No
12-10-11,4814,No
13-10-11,5806,No
14-10-11,7268,No
15-10-11,10428,No
16-10-11,10078,No
17-10-11,9130,No
18-10-11,9472,No
19-10-11,4834,No
20-10-11,8372,No
21-10-11,8592,No
22-10-11,8612,No
23-10-11,8758,No
24-10-11,8354,No
25-10-11,9352,No
26-10-11,7772,No
27-10-11,5304,No
28-10-11,7488,No
29-10-11,1254,No
30-10-11,6654,No
31-10-11,7322,No
01-11-11,8122,No
02-11-11,8352,No
03-11-11,7922,No
04-11-11,8078,No
05-11-11,7840,No
06-11-11,7296,No
07-11-11,8016,No
08-11-11,8394,No
09-11-11,8214,No
10-11-11,5852,No
11-11-11,6720,Yes
12-11-11,8130,No
13-11-11,7426,No
14-11-11,8938,No
15-11-11,8368,No
16-11-11,3626,No
17-11-11,6088,No
18-11-11,6772,No
19-11-11,7312,No
20-11-11,7028,No
21-11-11,5524,No
22-11-11,3202,No
23-11-11,5126,No
24-11-11,2988,Yes
25-11-11,5576,No
26-11-11,6132,No
27-11-11,6130,No
28-11-11,7706,No
29-11-11,5810,No
30-11-11,7210,No
01-12-11,7424,No
02-12-11,7858,No
03-12-11,7222,No
04-12-11,6966,No
05-12-11,7600,No
06-12-11,5172,No
07-12-11,1404,No
08-12-11,6626,No
09-12-11,7220,No
10-12-11,6368,No
11-12-11,5480,No
12-12-11,6584,No
13-12-11,7020,No
14-12-11,7450,No
15-12-11,7396,No
16-12-11,7112,No
17-12-11,5468,No
18-12-11,4850,No
19-12-11,6790,No
20-12-11,7482,No
21-12-11,5308,No
22-12-11,6120,No
23-12-11,4404,No
24-12-11,2020,No
25-12-11,1508,No
26-12-11,2632,Yes
27-12-11,2314,No
28-12-11,4594,No
29-12-11,4832,No
30-12-11,5982,No
31-12-11,4968,No
01-01-12,2294,No
02-01-12,1950,Yes
03-01-12,2233,No
04-01-12,2367,No
05-01-12,3269,No
06-01-12,4091,No
07-01-12,4520,No
08-01-12,3424,No
09-01-12,2370,No
10-01-12,3592,No
11-01-12,2174,No
12-01-12,4091,No
13-01-12,3207,No
14-01-12,2491,No
15-01-12,2306,No
16-01-12,2295,Yes
17-01-12,2931,No
18-01-12,3370,No
19-01-12,3285,No
20-01-12,3156,No
21-01-12,1300,No
22-01-12,1975,No
23-01-12,2429,No
24-01-12,4327,No
25-01-12,4259,No
26-01-12,4060,No
27-01-12,3449,No
28-01-12,4019,No
29-01-12,3240,No
30-01-12,3615,No
31-01-12,4501,No
01-02-12,4574,No
02-02-12,3754,No
03-02-12,4146,No
04-02-12,2831,No
05-02-12,2944,No
06-02-12,3779,No
07-02-12,4363,No
08-02-12,2794,No
09-02-12,3824,No
10-02-12,3822,No
11-02-12,2168,No
12-02-12,1529,No
13-02-12,3419,No
14-02-12,3909,No
15-02-12,4160,No
16-02-12,3000,No
17-02-12,4145,No
18-02-12,4316,No
19-02-12,2689,No
20-02-12,3127,Yes
21-02-12,3771,No
22-02-12,4767,No
23-02-12,5048,No
24-02-12,3480,No
25-02-12,2732,No
26-02-12,3389,No
27-02-12,4317,No
28-02-12,4353,No
29-02-12,1829,No
01-03-12,4978,No
02-03-12,3190,No
03-03-12,4061,No
04-03-12,3418,No
05-03-12,3331,No
06-03-12,3946,No
07-03-12,4907,No
08-03-12,5374,No
09-03-12,4561,No
10-03-12,4116,No
11-03-12,4906,No
12-03-12,5290,No
13-03-12,5833,No
14-03-12,6305,No
15-03-12,6183,No
16-03-12,4368,No
17-03-12,7832,No
18-03-12,5890,No
19-03-12,6146,No
20-03-12,6088,No
21-03-12,6221,No
22-03-12,6859,No
23-03-12,8351,No
24-03-12,3367,No
25-03-12,4993,No
26-03-12,5549,No
27-03-12,5093,No
28-03-12,5692,No
29-03-12,6126,No
30-03-12,5447,No
31-03-12,6233,No
01-04-12,6038,No
02-04-12,5920,No
03-04-12,6757,No
04-04-12,6419,No
05-04-12,6441,No
06-04-12,6453,No
07-04-12,6855,No
08-04-12,5168,No
09-04-12,5576,No
10-04-12,5907,No
11-04-12,4849,No
12-04-12,5396,No
13-04-12,6389,No
14-04-12,7458,No
15-04-12,7124,No
16-04-12,6361,Yes
17-04-12,6671,No
18-04-12,4360,No
19-04-12,6547,No
20-04-12,7273,No
21-04-12,6621,No
22-04-12,1023,No
23-04-12,3204,No
24-04-12,5621,No
25-04-12,6187,No
26-04-12,5020,No
27-04-12,6225,No
28-04-12,4220,No
29-04-12,6302,No
30-04-12,5569,No
01-05-12,5733,No
02-05-12,6158,No
03-05-12,6415,No
04-05-12,6288,No
05-05-12,6883,No
06-05-12,6355,No
07-05-12,6267,No
08-05-12,5719,No
09-05-12,4710,No
10-05-12,6563,No
11-05-12,7019,No
12-05-12,7427,No
13-05-12,6116,No
14-05-12,2842,No
15-05-12,5109,No
16-05-12,7412,No
17-05-12,7371,No
18-05-12,7631,No
19-05-12,8292,No
20-05-12,7124,No
21-05-12,4355,No
22-05-12,6060,No
23-05-12,5249,No
24-05-12,6759,No
25-05-12,6720,No
26-05-12,6533,No
27-05-12,6588,No
28-05-12,6038,Yes
29-05-12,5733,No
30-05-12,6840,No
31-05-12,7328,No
01-06-12,4118,No
02-06-12,8118,No
03-06-12,7641,No
04-06-12,6994,No
05-06-12,6997,No
06-06-12,7048,No
07-06-12,7489,No
08-06-12,7730,No
09-06-12,7496,No
10-06-12,6595,No
11-06-12,6655,No
12-06-12,4961,No
13-06-12,7416,No
14-06-12,7359,No
15-06-12,7656,No
16-06-12,7698,No
17-06-12,6968,No
18-06-12,5092,No
19-06-12,6812,No
20-06-12,6196,No
21-06-12,5891,No
22-06-12,5810,No
23-06-12,7452,No
24-06-12,6889,No
25-06-12,6769,No
26-06-12,7425,No
27-06-12,7323,No
28-06-12,6868,No
29-06-12,5455,No
30-06-12,5679,No
01-07-12,5531,No
02-07-12,6227,No
03-07-12,6660,No
04-07-12,7403,Yes
05-07-12,6241,No
06-07-12,6207,No
07-07-12,4840,No
08-07-12,4672,No
09-07-12,6569,No
10-07-12,6290,No
11-07-12,7264,No
12-07-12,7446,No
13-07-12,7499,No
14-07-12,6969,No
15-07-12,6031,No
16-07-12,6830,No
17-07-12,6786,No
18-07-12,5713,No
19-07-12,6591,No
20-07-12,5870,No
21-07-12,4459,No
