EST,Mean TemperatureF, Mean VisibilityMiles, Mean Wind SpeedMPH, Events
2015/4/28,60,10,12,
2015/4/29,65,10,4,
2015/4/30,65,10,7,Rain-Hail-Thunderstorm
2015/5/1,59,10,7,Rain-Thunderstorm
2015/5/2,65,10,5,
2015/5/3,70,10,5,
2015/5/4,70,10,10,
2015/5/5,75,10,7,Rain-Thunderstorm
2015/5/6,74,10,5,Rain
2015/5/7,72,10,6,
2015/5/8,74,10,5,
2015/5/9,74,9,6,Rain
2015/5/10,77,10,7,
2015/5/11,77,10,5,
2015/5/12,81,10,10,
2015/5/13,64,10,16,
2015/5/14,63,10,7,
2015/5/15,68,10,10,
2015/5/16,78,9,8,Rain-Thunderstorm
2015/5/17,79,10,4,Rain
2015/5/18,82,8,5,Rain-Thunderstorm
2015/5/19,81,10,6,
2015/5/20,69,10,15,
2015/5/21,58,8,7,Rain
2015/5/22,66,10,11,
2015/5/23,65,10,8,
2015/5/24,70,10,8,
2015/5/25,76,10,12,
2015/5/26,79,10,11,
2015/5/27,83,10,9,
2015/5/28,83,10,6,Rain-Thunderstorm
2015/5/29,81,10,8,Thunderstorm
2015/5/30,81,10,11,
2015/5/31,83,10,12,
2015/6/1,82,7,8,Rain-Hail-Thunderstorm
2015/6/2,66,7,11,Rain-Thunderstorm
2015/6/3,62,8,11,Rain
2015/6/4,62,7,10,Rain
2015/6/5,68,10,5,Rain
2015/6/6,75,10,9,
2015/6/7,73,10,9,
2015/6/8,77,8,13,Rain-Thunderstorm
2015/6/9,81,10,12,
2015/6/10,76,10,7,
2015/6/11,82,8,8,
2015/6/12,86,10,10,Rain-Thunderstorm
2015/6/13,84,10,6,
2015/6/14,86,9,5,Rain-Thunderstorm
2015/6/15,86,10,6,Rain
2015/6/16,87,10,9,
2015/6/17,79,9,5,Rain
2015/6/18,82,9,6,Rain-Thunderstorm
2015/6/19,81,10,7,Rain
2015/6/20,84,8,6,Fog-Rain-Thunderstorm
2015/6/21,85,10,9,Rain
2015/6/22,86,10,8,
2015/6/23,86,8,11,Rain-Thunderstorm
2015/6/24,78,10,8,
2015/6/25,79,9,6,Rain-Thunderstorm
2015/6/26,76,10,6,
2015/6/27,74,6,11,Rain
2015/6/28,75,10,9,Rain
2015/6/29,74,10,8,
2015/6/30,80,10,9,Rain
2015/7/1,79,8,7,Rain-Thunderstorm
2015/7/2,73,8,4,Rain
2015/7/3,75,7,4,Fog-Rain
2015/7/4,79,6,3,Rain-Thunderstorm
2015/7/5,79,7,4,
2015/7/6,83,10,7,Rain
2015/7/7,83,10,8,
2015/7/8,85,7,8,Rain-Thunderstorm
2015/7/9,85,10,7,Rain
2015/7/10,83,10,10,Rain
2015/7/11,82,9,5,Rain
2015/7/12,79,10,5,
2015/7/13,78,10,5,Rain
2015/7/14,83,10,7,
2015/7/15,80,10,11,Rain
2015/7/16,77,10,7,
2015/7/17,78,10,8,
2015/7/18,83,10,8,Rain
2015/7/19,89,10,6,
2015/7/20,90,10,7,
2015/7/21,86,10,7,Rain
2015/7/22,81,10,9,
2015/7/23,80,10,7,
2015/7/24,80,10,7,
2015/7/25,81,10,7,
2015/7/26,83,10,12,
2015/7/27,82,9,6,Rain-Thunderstorm
2015/7/28,86,10,4,Thunderstorm
2015/7/29,85,10,9,
2015/7/30,85,9,8,Rain-Thunderstorm
2015/7/31,83,10,8,
2015/8/1,83,10,7,
2015/8/2,82,10,7,
2015/8/3,83,10,10,
2015/8/4,86,9,7,Rain
2015/8/5,84,10,6,
2015/8/6,80,10,8,Rain
2015/8/7,77,10,9,Rain
2015/8/8,81,10,8,
2015/8/9,81,10,7,
2015/8/10,76,10,11,Rain
2015/8/11,82,9,9,Rain
2015/8/12,78,10,11,
2015/8/13,77,10,7,
2015/8/14,76,10,5,
2015/8/15,79,10,8,
2015/8/16,82,10,7,
2015/8/17,84,10,8,
2015/8/18,82,10,7,
2015/8/19,84,10,10,
2015/8/20,80,10,8,Rain-Thunderstorm
2015/8/21,79,10,9,
2015/8/22,76,10,6,
2015/8/23,75,10,5,
2015/8/24,81,9,7,Rain-Thunderstorm
2015/8/25,77,10,8,
2015/8/26,75,10,8,
2015/8/27,73,10,7,
2015/8/28,74,10,4,
2015/8/29,78,10,10,
2015/8/30,78,10,8,
2015/8/31,81,10,8,
2015/9/1,83,10,4,
2015/9/2,85,9,5,
2015/9/3,85,10,5,Rain-Thunderstorm
2015/9/4,84,10,7,
2015/9/5,80,10,8,
2015/9/6,78,10,5,
2015/9/7,80,10,6,
2015/9/8,82,10,9,
2015/9/9,85,10,9,Rain
2015/9/10,77,10,10,Rain
2015/9/11,76,10,7,
2015/9/12,71,10,6,Rain
2015/9/13,67,10,11,Rain
2015/9/14,68,10,8,
2015/9/15,72,10,4,
2015/9/16,73,10,4,
2015/9/17,75,10,5,
2015/9/18,76,10,6,
2015/9/19,77,9,8,
2015/9/20,75,10,11,
2015/9/21,67,10,10,Rain
2015/9/22,69,10,10,
2015/9/23,70,10,9,
2015/9/24,70,10,8,
2015/9/25,68,10,11,Rain
2015/9/26,69,10,13,Rain
2015/9/27,69,10,11,Rain
2015/9/28,75,10,6,
2015/9/29,76,8,7,Rain
2015/9/30,71,9,11,Rain
2015/10/1,60,5,14,Rain
2015/10/2,54,7,18,Rain
2015/10/3,54,5,17,Rain
2015/10/4,57,10,15,
2015/10/5,61,10,8,
2015/10/6,64,10,4,
2015/10/7,68,10,3,
2015/10/8,68,9,4,
2015/10/9,71,9,8,Rain-Thunderstorm
2015/10/10,59,10,8,
2015/10/11,59,10,4,
2015/10/12,63,10,6,
2015/10/13,69,10,7,
2015/10/14,63,10,7,
2015/10/15,61,10,9,
2015/10/16,59,10,9,
2015/10/17,52,10,10,
2015/10/18,46,10,10,
2015/10/19,47,10,7,
2015/10/20,56,10,6,
2015/10/21,61,10,5,
2015/10/22,63,10,6,
2015/10/23,61,10,8,
2015/10/24,55,10,7,
2015/10/25,63,10,10,Rain
2015/10/26,54,10,7,
2015/10/27,52,10,8,Rain
2015/10/28,63,8,13,Rain
2015/10/29,65,9,7,Rain
2015/10/30,54,10,12,
2015/10/31,52,10,6,
2015/11/1,59,10,9,Rain
2015/11/2,59,10,2,
2015/11/3,59,10,1,
2015/11/4,62,10,2,Rain
2015/11/5,65,5,4,Fog-Rain
2015/11/6,70,7,10,Fog-Rain
2015/11/7,63,10,7,Rain
2015/11/8,51,10,7,
2015/11/9,47,9,6,Rain
2015/11/10,56,5,12,Rain
2015/11/11,58,10,11,
2015/11/12,58,10,7,Rain
2015/11/13,56,10,12,
2015/11/14,48,10,11,
2015/11/15,50,10,8,
2015/11/16,56,10,4,
2015/11/17,54,10,7,
2015/11/18,56,10,9,
2015/11/19,62,5,7,Fog-Rain
2015/11/20,51,10,12,
2015/11/21,47,10,6,
2015/11/22,43,10,14,
2015/11/23,37,10,11,
2015/11/24,45,10,7,
2015/11/25,48,10,5,
2015/11/26,52,10,3,
2015/11/27,54,9,5,
2015/11/28,57,10,5,Rain
2015/11/29,52,8,9,Rain
2015/11/30,42,5,10,Rain
2015/12/1,46,5,5,Fog-Rain
2015/12/2,54,4,6,Fog-Rain
2015/12/3,48,10,14,
2015/12/4,45,10,5,
2015/12/5,44,10,2,
2015/12/6,43,6,3,Fog
2015/12/7,48,9,5,
2015/12/8,47,10,4,
2015/12/9,44,5,5,Fog
2015/12/10,52,8,3,Rain
2015/12/11,54,10,4,
2015/12/12,57,8,3,
2015/12/13,60,8,5,Fog
2015/12/14,61,9,11,Rain
2015/12/15,57,10,12,
2015/12/16,49,10,5,
2015/12/17,51,7,4,Fog-Rain
2015/12/18,44,10,14,
2015/12/19,38,10,10,
2015/12/20,39,10,6,
2015/12/21,48,10,12,
2015/12/22,57,9,8,Rain
2015/12/23,60,4,6,Fog-Rain
2015/12/24,66,10,10,Fog-Rain
2015/12/25,63,5,5,Fog-Rain
2015/12/26,56,7,9,Fog-Rain
2015/12/27,61,8,11,Rain
2015/12/28,51,8,14,Rain
2015/12/29,49,6,7,Fog-Rain
2015/12/30,52,4,5,Fog-Rain
2015/12/31,51,9,8,
2016/1/1,42,10,8,
2016/1/2,40,10,6,
2016/1/3,43,10,8,
2016/1/4,30,10,17,
2016/1/5,25,10,10,
2016/1/6,30,10,4,
2016/1/7,39,8,3,
2016/1/8,43,3,5,Rain
2016/1/9,46,4,5,Rain
2016/1/10,50,8,17,Rain
2016/1/11,35,10,10,
2016/1/12,38,10,14,Rain-Snow
2016/1/13,27,10,10,
2016/1/14,41,10,8,
2016/1/15,42,9,6,Rain
2016/1/16,46,7,9,Fog-Rain
2016/1/17,35,7,7,Fog-Snow
2016/1/18,25,10,18,Snow
2016/1/19,22,10,15,
2016/1/20,25,6,8,Snow
2016/1/21,29,10,12,Snow
2016/1/22,26,4,11,Fog-Snow
2016/1/23,27,1,23,Fog-Snow
2016/1/24,27,10,9,
2016/1/25,29,8,2,
2016/1/26,41,10,8,Rain
2016/1/27,40,10,10,Rain
2016/1/28,33,10,4,
2016/1/29,36,10,12,Snow
2016/1/30,33,10,8,
2016/1/31,47,10,9,
2016/2/1,52,10,9,Rain
2016/2/2,45,10,6,
2016/2/3,49,7,7,Fog-Rain
2016/2/4,50,7,13,Fog-Rain
2016/2/5,39,9,15,Rain-Snow
2016/2/6,36,10,5,
2016/2/7,38,10,7,
2016/2/8,40,10,9,Rain
2016/2/9,36,8,8,Rain-Snow
2016/2/10,33,10,13,Snow
2016/2/11,26,10,14,
2016/2/12,25,10,6,Snow
2016/2/13,22,8,18,Snow
2016/2/14,20,9,9,Snow
2016/2/15,26,4,6,Fog-Rain-Snow
2016/2/16,42,6,10,Fog-Rain
2016/2/17,40,10,8,
2016/2/18,35,10,12,
2016/2/19,34,10,8,
2016/2/20,53,10,11,
2016/2/21,51,6,7,Rain
2016/2/22,47,10,7,
2016/2/23,43,4,11,Rain
2016/2/24,54,4,10,Fog-Rain-Hail-Thunderstorm
2016/2/25,50,10,17,Rain
2016/2/26,36,10,16,
2016/2/27,37,10,7,
2016/2/28,49,10,11,
2016/2/29,55,10,11,
2016/3/1,53,10,9,Rain
2016/3/2,46,10,19,Rain
2016/3/3,35,8,7,Snow
2016/3/4,37,7,12,Snow
2016/3/5,40,10,7,
2016/3/6,45,10,4,Rain
2016/3/7,51,10,11,
2016/3/8,63,10,5,
2016/3/9,63,10,7,
2016/3/10,68,10,12,
2016/3/11,65,10,9,Rain
2016/3/12,55,10,5,
2016/3/13,55,9,8,Rain
2016/3/14,50,7,11,Rain
2016/3/15,56,10,5,Rain
2016/3/16,62,10,4,Rain
2016/3/17,59,10,9,Rain
2016/3/18,58,10,10,
2016/3/19,48,10,11,Rain-Snow
2016/3/20,41,10,10,Rain-Snow
2016/3/21,45,10,11,
2016/3/22,49,10,10,
2016/3/23,64,10,12,
2016/3/24,64,10,12,
2016/3/25,61,10,15,Rain
2016/3/26,52,10,7,
2016/3/27,53,9,7,Rain
2016/3/28,60,8,13,Rain
2016/3/29,53,10,15,
2016/3/30,52,10,10,
2016/3/31,64,10,17,
2016/4/1,74,10,14,Rain
2016/4/2,56,10,12,Rain
2016/4/3,46,10,15,Snow
2016/4/4,57,10,16,Rain
2016/4/5,38,10,15,Snow
2016/4/6,45,10,13,
2016/4/7,57,8,11,Rain
2016/4/8,49,10,11,
2016/4/9,42,8,15,Rain-Snow
2016/4/10,42,10,10,
2016/4/11,60,10,17,Rain
2016/4/12,58,10,16,Rain
2016/4/13,51,10,6,
2016/4/14,52,10,5,
2016/4/15,53,10,5,
2016/4/16,59,10,6,
2016/4/17,61,10,4,
2016/4/18,68,10,5,
2016/4/19,70,10,11,
2016/4/20,61,10,8,
2016/4/21,63,10,10,
2016/4/22,70,10,11,Rain
2016/4/23,63,9,13,Rain
2016/4/24,57,10,8,
2016/4/25,65,10,8,
2016/4/26,76,10,12,
2016/4/27,62,9,8,Rain
2016/4/28,52,5,8,Rain
2016/4/29,52,8,7,Rain
2016/4/30,55,10,6,Rain
2016/5/1,56,8,7,Rain
2016/5/2,66,6,6,Fog-Rain-Hail-Thunderstorm
2016/5/3,66,9,7,Rain-Thunderstorm
2016/5/4,57,10,9,Rain
2016/5/5,55,8,11,Rain
2016/5/6,53,8,9,Rain
2016/5/7,59,9,7,Rain
2016/5/8,63,10,10,Rain
2016/5/9,57,10,6,Rain
2016/5/10,61,10,7,Rain
2016/5/11,58,6,5,Rain
2016/5/12,62,7,5,
2016/5/13,69,8,8,Rain
2016/5/14,64,10,10,Rain
2016/5/15,55,10,13,
2016/5/16,56,10,8,
2016/5/17,57,9,4,Rain
2016/5/18,60,9,6,Rain
2016/5/19,63,10,6,
2016/5/20,65,10,5,
2016/5/21,59,6,11,Rain
2016/5/22,56,6,10,Rain
2016/5/23,66,10,7,Rain-Thunderstorm
2016/5/24,70,10,9,Rain
2016/5/25,73,10,5,
2016/5/26,76,10,8,
2016/5/27,79,10,9,
2016/5/28,79,10,10,
2016/5/29,75,8,6,Rain
2016/5/30,74,10,6,
2016/5/31,79,10,4,
2016/6/1,78,10,6,
2016/6/2,75,10,5,
2016/6/3,77,8,6,Rain
2016/6/4,76,10,8,
2016/6/5,78,10,11,Rain
2016/6/6,78,10,8,
2016/6/7,76,10,10,Rain
2016/6/8,68,10,14,
2016/6/9,68,10,10,
2016/6/10,73,10,10,
2016/6/11,81,10,10,
2016/6/12,82,10,14,
2016/6/13,73,10,11,
2016/6/14,74,10,9,
2016/6/15,75,10,7,Rain
2016/6/16,79,9,9,Rain-Thunderstorm
2016/6/17,74,9,10,
2016/6/18,76,10,7,
2016/6/19,78,10,7,
2016/6/20,80,10,8,
2016/6/21,82,8,8,Fog-Rain-Thunderstorm
2016/6/22,78,10,8,
2016/6/23,76,9,7,Rain-Thunderstorm
2016/6/24,79,10,8,
2016/6/25,79,10,8,
2016/6/26,76,10,5,
2016/6/27,78,9,10,Rain
2016/6/28,78,9,7,Rain-Thunderstorm
2016/6/29,75,10,11,
2016/6/30,75,10,6,
