EndStation,Ridership
Eastern Market / 7th & North Carolina Ave SE,98741
Eastern Market Metro / Pennsylvania Ave & 7th St SE,192986
Eckington Pl & Q St NE,40170
Eisenhower Ave & Mill Race Ln,1824
Fairfax Dr & Kenmore St,7887
Fairfax Dr & Wilson Blvd,14532
Fairfax Village,309
Fallsgrove Blvd & Fallsgrove Dr,814
Fallsgrove Dr & W Montgomery Ave,499
Fenton St & Ellsworth Dr,3131
Fenton St & Gist Ave,2125
Fenton St & New York Ave,3096
Fessenden St & Wisconsin Ave NW,5247
Fleet St & Ritchie Pkwy,678
Florida Ave & R St NW,93903
Fort Totten Metro,1823
Frederick Ave & Horners Ln,451
Friendship Blvd & Willard Ave,2443
Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,7653
Gallaudet / 8th St & Florida Ave NE,23940
Garland Ave & Walden Rd,615
George Mason Dr & Wilson Blvd,8805
Georgetown Harbor / 30th St NW,129360
Georgia & Missouri Ave NW,840
Georgia & New Hampshire Ave NW,97931
Georgia Ave & Emerson St NW,4772
Georgia Ave & Spring St,1163
Georgia Ave and Fairmont St NW,25649
Glebe Rd & 11th St N,7405
Good Hope & Naylor Rd SE,977
Good Hope Rd & 14th St SE,3221
Good Hope Rd & MLK Ave SE,5977
Hains Point/Buckeye & Ohio Dr SW,13556
Hamlin & 7th St NE,4717
Harvard St & Adams Mill Rd NW,27020
Henry Bacon Dr & Lincoln Memorial Circle NW,2005
Henry St & Pendleton St,4296
Independence Ave & L'Enfant Plaza SW/DOE,22656
Iwo Jima Memorial/N Meade & 14th St N,20746
Jefferson Dr & 14th St SW,198599
Jefferson Memorial,117844
John McCormack Dr & Michigan Ave NE,11422
Kennedy Center,30851
Key Blvd & N Quinn St,7960
Key West Ave & Siesta Key Way,40
King Farm Blvd & Piccard Dr,1632
King Farm Blvd & Pleasant Dr,1696
King St & Patrick St,12325
King St Metro North / Cameron St,1100
King St Metro South,16484
L'Enfant Plaza / 7th & C St SW,113889
Lamont & Mt Pleasant NW,90286
Lee Hwy & N Adams St,15430
Lee Hwy & N Cleveland St,4521
Lee Hwy & N Kirkwood Rd,2116
Lee Hwy & N Monroe St,1339
Lee Hwy & N Scott St,6696
Lee Hwy & N Woodstock St,207
Lincoln Memorial,204360
Lincoln Park / 13th & East Capitol St NE,119366
Long Bridge Park/Long Bridge Dr & 6th St S,2650
Lynn & 19th St North,88869
Lyttonsville Rd & Lyttonsville Pl,120
M St & Delaware Ave NE,53786
M St & New Jersey Ave SE,78951
M St & Pennsylvania Ave NW,119508
Madison & N Henry St,408
Maple & Ritchie Ave,3753
Market Square / King St & Royal St,18178
Maryland & Independence Ave SW,115161
Maryland Ave & E St NE,4792
Massachusetts Ave & Dupont Circle NW,416128
McKinley St & Connecticut Ave NW,2667
Medical Center Dr & Key West Ave,609
Medical Center Metro,175
Metro Center / 12th & G St NW,141427
Minnesota Ave Metro/DOES,1963
MLK Library/9th & G St NW,26571
Monroe Ave & Leslie Ave,3706
Monroe St & Monroe Pl,593
Montgomery & East Ln,2942
Montgomery Ave & Waverly St,1388
Montgomery College/W Campus Dr & Mannakee St,733
Mount Vernon Ave & E Del Ray Ave,5371
Mount Vernon Ave & E Nelson Ave,3409
Mount Vernon Ave & Kennedy St,3306
N Pershing Dr & Wayne St,6655
N Quincy St & Glebe Rd,10954
N Randolph St & Fairfax Dr,13421
N Rhodes & 16th St N,11991
N Veitch  & 20th St N,12487
N Veitch & Key Blvd,8583
Nannie Helen Burroughs & Minnesota Ave NE,396
Nannie Helen Burroughs Ave & 49th St NE,448
Neal St & Trinidad Ave NE,13637
Needwood Rd & Eagles Head Ct,183
New Hampshire Ave & 24th St NW,29332
New Hampshire Ave & T St NW,112631
New Jersey Ave & N St NW/Dunbar HS,25091
New Jersey Ave & R St NW,33277
New York Ave & 15th St NW,149991
New York Ave & Hecht Ave NE,1255
Norfolk & Rugby Ave,1813
Norfolk Ave & Fairmont St,2954
North Capitol St & F St NW,164172
